"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"São Gonçalo do Piauí","PI",88.9,100,49.5,24.34
"Sem-Peixe","MG",100,100,49.32,28.73
"Coribe","BA",100,100,50.32,31.67
"Campo Largo do Piauí","PI",55.6,77.8,50.95,9.86
"Hugo Napoleão","PI",77.8,88.9,48.77,21.35
"Jardim de Angicos","RN",88.9,77.8,51.9,10.63
"Lajes Pintadas","RN",77.8,88.9,50.91,23.01
"Vale de São Domingos","MT",77.8,100,53.83,34.47
"Amparo do Serra","MG",88.9,100,49.16,36.1
"Igaporã","BA",81.8,100,50.27,37.59
"Itaúna do Sul","PR",88.9,100,50.85,37.82
"São José da Lagoa Tapada","PB",100,100,48.65,38.25
"Jati","CE",100,88.9,50,27.94
"União","PI",84.6,76.9,50.18,16.69
"Joca Marques","PI",100,77.8,52.25,17.94
"São João do Tigre","PB",77.8,88.9,51.11,29.07
"Itambé do Mato Dentro","MG",88.9,88.9,51.64,29.57
"Sericita","MG",77.8,100,51.16,40.8
"Anaurilândia","MS",77.8,100,50.78,40.97
"Ipubi","PE",72.7,81.8,49.27,23.19
"Floresta do Piauí","PI",88.9,77.8,51.25,19.3
"Mirinzal","MA",77.8,66.7,51.25,9.28
"Autazes","AM",61.5,76.9,52.87,19.56
"Berizal","MG",88.9,88.9,50.11,31.72
"Santa Cruz do Escalvado","MG",77.8,88.9,50.24,31.79
"Cajazeirinhas","PB",88.9,100,51.04,42.93
"Frutuoso Gomes","RN",88.9,100,48.95,43.09
"Cipó","BA",81.8,81.8,48.73,25.05
"Antônio Dias","MG",100,88.9,50.49,32.16
"Taparuba","MG",77.8,100,51.51,43.32
"Dom Pedro","MA",72.7,81.8,48.28,25.29
"Ibateguara","AL",100,90.9,49.99,34.56
"Sandovalina","SP",77.8,100,50.96,43.96
"Itaúba","MT",100,100,52.42,44
"Parambu","CE",92.3,92.3,48.75,36.8
"Pedra do Anta","MG",100,88.9,49.96,33.49
"Potengi","CE",55.6,88.9,48.53,33.52
"Sítio Novo","MA",90.9,81.8,52.59,26.63
"Guamaré","RN",55.6,88.9,50.17,33.8
"Ipaumirim","CE",55.6,88.9,49.93,33.99
"Jaupaci","GO",77.8,100,50.57,45.2
"Nova Olinda do Maranhão","MA",81.8,72.7,50.07,18.03
"Mimoso do Sul","ES",90.9,100,50.35,45.37
"Lagoa Salgada","RN",55.6,88.9,50.24,34.72
"Martins Soares","MG",88.9,100,50.97,45.96
"Nossa Senhora das Graças","PR",100,100,50.89,46.01
"Pacujá","CE",88.9,88.9,48.48,34.96
"Japi","RN",77.8,88.9,50.81,35.06
"Campinápolis","MT",81.8,72.7,51.77,18.99
"Ewbank da Câmara","MG",77.8,88.9,49.43,35.39
"Tanque Novo","BA",72.7,90.9,50.38,37.52
"Coronel Sapucaia","MS",44.4,88.9,49.44,35.67
"Canhoba","SE",77.8,77.8,52.1,24.72
"Volta Grande","MG",77.8,88.9,48.86,35.88
"Messias","AL",90.9,81.8,49.12,28.81
"Araruna","PB",90.9,90.9,49.39,37.98
"São Vicente Ferrer","PE",81.8,90.9,49.23,38.05
"Peixoto de Azevedo","MT",81.8,81.8,51.83,28.97
"Pastos Bons","MA",100,81.8,50.81,28.99
"São Luís do Quitunde","AL",76.9,76.9,50.38,24.44
"Couto de Magalhães","TO",100,77.8,52.67,25.49
"Coremas","PB",100,100,48.99,47.71
"Rio de Contas","BA",77.8,100,47.92,47.75
"Brejo Alegre","SP",77.8,100,51.69,47.84
"Três Corações","MG",90,100,49.62,47.85
"Pedro Velho","RN",77.8,88.9,50.73,36.77
"Santa Inês","PR",66.7,100,50.99,48.07
"Pequeri","MG",88.9,100,49.38,48.18
"Condado","PE",90.9,81.8,48.78,30.02
"Pedra Dourada","MG",66.7,88.9,51.85,37.24
"Palma","MG",88.9,100,50.62,48.34
"São Domingos das Dores","MG",88.9,88.9,50.81,37.46
"Santo Antônio do Amparo","MG",81.8,90.9,49.51,39.46
"Reserva do Iguaçu","PR",100,100,51.28,48.61
"Nova Londrina","PR",88.9,100,49.17,48.73
"Elísio Medrado","BA",66.7,77.8,49.79,26.53
"Santa Luzia","PB",100,100,48.5,48.81
"Nova Mutum","MT",100,100,53.08,48.81
"Cantagalo","RJ",90.9,100,49.58,48.88
"Pedreiras","MA",92.3,76.9,47.81,25.93
"São Francisco do Glória","MG",88.9,100,51.27,49.05
"Estreito","MA",84.6,76.9,53.07,26.02
"Porecatu","PR",88.9,100,49.59,49.12
"Querência do Norte","PR",88.9,100,50.62,49.34
"Virgem da Lapa","MG",88.9,66.7,49.66,16.15
"Upanema","RN",100,88.9,51.72,38.38
"Moreira Sales","PR",77.8,100,50.1,49.57
"Barra do Turvo","SP",88.9,88.9,52.4,38.57
"Lagoa dos Gatos","PE",100,88.9,50.11,38.6
"São Brás do Suaçuí","MG",88.9,88.9,49.25,38.6
"São Sebastião do Alto","RJ",88.9,100,50.22,49.71
"Pombos","PE",72.7,90.9,49.41,40.63
"Engenheiro Paulo de Frontin","RJ",66.7,100,48.72,49.85
"Francisco Dantas","RN",88.9,100,50.7,49.86
"Santa Cruz","PE",66.7,88.9,50.1,38.77
"Bom Jesus do Norte","ES",100,100,48.37,49.89
"Fernando Pedroza","RN",100,77.8,51.02,27.75
"Parauapebas","PA",73.3,73.3,50.61,23.27
"Vila Valério","ES",88.9,100,52.12,49.98
"Abaiara","CE",77.8,77.8,49.64,27.86
"Morada Nova de Minas","MG",88.9,100,50.94,50.15
"Coruripe","AL",93.3,80,49.39,30.24
